,data,altitude,campanha,chuva_gdas,evt_id,evt_soma_chuva,evt_media_chuva,evt_max_chuva,direcao,velocidade,direcao_cat,velocidade_cat,evt_soma_chuva_cat
194,2019-01-04 01:00:00,2391,PS190106 - PP1,0.0,431,36.0,12.0,25.8,232.206057,6.386830591,SW,0-10 km/h,35-50 mm
195,2019-01-05 22:00:00,2391,PS190106 - PP1,0.0,436,30.2,7.55,28.0,322.9071627,21.17696031,NW,20-30 km/h,20-35 mm
196,2019-01-06 02:00:00,2391,PS190210 - PP1,0.0,436,30.2,7.55,28.0,332.9044475,29.85010372,NNW,20-30 km/h,20-35 mm
197,2019-01-06 01:00:00,2391,PS190210 - PP1,0.0,436,30.2,7.55,28.0,331.6589046,29.72491489,NNW,20-30 km/h,20-35 mm
198,2019-01-16 19:00:00,2391,PS190210 - PP1,0.0,443,12.2,6.1,7.6,249.0754983,11.24776978,WSW,10-20 km/h,5-20 mm
199,2019-01-16 22:00:00,2391,PS190210 - PP1,0.0,443,12.2,6.1,7.6,218.5652608,9.748067142,SW,0-10 km/h,5-20 mm
200,2019-01-19 22:00:00,2391,PS190210 - PP1,0.0,446,6.8,2.2667,6.2,274.484606,5.269132092,W,0-10 km/h,5-20 mm
201,2019-01-20 02:00:00,2391,PS190210 - PP1,0.0,446,6.8,2.2667,6.2,262.4053566,4.676018499,W,0-10 km/h,5-20 mm
202,2019-01-20 01:00:00,2391,PS190210 - PP1,0.0,446,6.8,2.2667,6.2,259.2611029,6.080490523,W,0-10 km/h,5-20 mm
203,2019-01-20 19:00:00,2391,PS190210 - PP1,0.0,447,6.4,1.28,3.4,307.1847065,7.498513186,NW,0-10 km/h,5-20 mm
204,2019-01-20 22:00:00,2391,PS190210 - PP1,0.0,447,6.4,1.28,3.4,317.6425453,4.739119433,NW,0-10 km/h,5-20 mm
205,2019-01-21 01:00:00,2391,PS190210 - PP1,0.0,447,6.4,1.28,3.4,324.9041832,4.65783265,NW,0-10 km/h,5-20 mm
206,2019-01-21 22:00:00,2391,PS190210 - PP1,0.0,449,33.2,16.6,33.0,189.3601908,9.499481775,S,0-10 km/h,20-35 mm
207,2019-01-22 02:00:00,2391,PS190210 - PP1,0.0,449,33.2,16.6,33.0,177.8252559,16.28572995,S,10-20 km/h,20-35 mm
208,2019-01-22 01:00:00,2391,PS190210 - PP1,0.0,449,33.2,16.6,33.0,184.6986805,15.08870902,S,10-20 km/h,20-35 mm
209,2019-01-25 19:00:00,2391,PS190210 - PP1,0.0,452,10.8,5.4,9.6,5.355825043,6.620905376,N,0-10 km/h,5-20 mm
210,2019-02-04 19:00:00,2391,PS190210 - PP1,0.0,458,10.0,10.0,10.0,261.4692344,24.99655304,W,20-30 km/h,5-20 mm
211,2019-02-04 22:00:00,2391,PS190210 - PP1,1.2,459,35.8,2.5571,8.2,251.3654151,18.69613147,WSW,10-20 km/h,35-50 mm
212,2019-02-05 02:00:00,2391,PS190210 - PP1,0.8,459,35.8,2.5571,8.2,262.9987324,11.83021251,W,10-20 km/h,35-50 mm
213,2019-02-05 01:00:00,2391,PS190210 - PP1,0.9,459,35.8,2.5571,8.2,259.4919779,12.98984777,W,10-20 km/h,35-50 mm
214,2019-02-05 04:00:00,2391,PS190210 - PP1,0.0,459,35.8,2.5571,8.2,265.6012946,8.057734173,W,0-10 km/h,35-50 mm
215,2019-02-05 07:00:00,2391,PS190210 - PP1,0.0,459,35.8,2.5571,8.2,161.5650512,2.280002193,SSE,0-10 km/h,35-50 mm
216,2019-02-05 10:00:00,2391,PS190210 - PP1,0.3,459,35.8,2.5571,8.2,48.12213046,4.011714471,NE,0-10 km/h,35-50 mm
217,2019-02-05 19:00:00,2391,PS190210 - PP1,0.0,461,8.2,1.025,2.8,282.4174458,11.49592593,WNW,10-20 km/h,5-20 mm
218,2019-02-05 22:00:00,2391,PS190210 - PP1,0.0,461,8.2,1.025,2.8,281.7385712,8.100411409,WNW,0-10 km/h,5-20 mm
219,2019-02-06 22:00:00,2391,PS190210 - PP1,0.7,464,19.2,2.4,11.2,303.1356095,26.56860992,WNW,20-30 km/h,5-20 mm
220,2019-02-07 02:00:00,2391,PS190210 - PP1,1.3,464,19.2,2.4,11.2,288.8583089,26.44874746,WNW,20-30 km/h,5-20 mm
221,2019-02-07 01:00:00,2391,PS190210 - PP1,1.3,464,19.2,2.4,11.2,288.0295609,27.62128936,WNW,20-30 km/h,5-20 mm
222,2019-02-07 04:00:00,2391,PS190210 - PP1,0.0,464,19.2,2.4,11.2,289.8997976,24.20850613,WNW,20-30 km/h,5-20 mm
223,2019-02-07 07:00:00,2391,PS190210 - PP1,0.0,464,19.2,2.4,11.2,295.0893739,19.67542655,WNW,10-20 km/h,5-20 mm
224,2019-02-07 10:00:00,2391,PS190210 - PP1,0.0,465,7.0,1.1667,2.6,310.2521119,21.9979162,NW,20-30 km/h,5-20 mm
225,2019-02-07 13:00:00,2391,PS190210 - PP1,0.0,465,7.0,1.1667,2.6,314.3338,25.05590118,NW,20-30 km/h,5-20 mm
226,2019-02-09 22:00:00,2391,PS190210 - PP1,0.0,467,11.0,5.5,10.8,253.3549618,10.42795522,WSW,10-20 km/h,5-20 mm
227,2019-02-10 01:00:00,2391,PS190313 - PP1,0.0,467,11.0,5.5,10.8,217.6942405,2.863696388,SW,0-10 km/h,5-20 mm
228,2019-02-12 22:00:00,2391,PS190313 - PP1,0.0,469,44.2,8.84,25.2,257.1756019,12.99311421,WSW,10-20 km/h,35-50 mm
229,2019-02-13 02:00:00,2391,PS190313 - PP1,0.0,469,44.2,8.84,25.2,247.4161475,12.60561787,WSW,10-20 km/h,35-50 mm
230,2019-02-13 01:00:00,2391,PS190313 - PP1,0.0,469,44.2,8.84,25.2,247.3062051,12.28077945,WSW,10-20 km/h,35-50 mm
